Algorithm,Size,Case,Time (s),System Time (ms)
Bubble,10,Best,0.000001
Bubble,20,Best,0.000000
Bubble,30,Best,0.000000
Bubble,40,Best,0.000001
Bubble,50,Best,0.000001
Bubble,60,Best,0.000001
Bubble,70,Best,0.000001
Bubble,80,Best,0.000001
Bubble,90,Best,0.000001
Bubble,100,Best,0.000002
Bubble,110,Best,0.000002
Bubble,120,Best,0.000003
Bubble,130,Best,0.000003
Bubble,140,Best,0.000003
Bubble,150,Best,0.000003
Bubble,160,Best,0.000004
Bubble,170,Best,0.000005
Bubble,180,Best,0.000005
Bubble,190,Best,0.000006
Bubble,200,Best,0.000008
Bubble,210,Best,0.000008
Bubble,220,Best,0.000009
Bubble,230,Best,0.000009
Bubble,240,Best,0.000009
Bubble,250,Best,0.000009
Bubble,260,Best,0.000011
Bubble,270,Best,0.000011
Bubble,280,Best,0.000012
Bubble,290,Best,0.000013
Bubble,300,Best,0.000015
Bubble,310,Best,0.000014
Bubble,320,Best,0.000016
Bubble,330,Best,0.000017
Bubble,340,Best,0.000018
Bubble,350,Best,0.000018
Bubble,360,Best,0.000019
Bubble,370,Best,0.000020
Bubble,380,Best,0.000021
Bubble,390,Best,0.000023
Bubble,400,Best,0.000023
Bubble,410,Best,0.000025
Bubble,420,Best,0.000025
Bubble,430,Best,0.000027
Bubble,440,Best,0.000028
Bubble,450,Best,0.000029
Bubble,460,Best,0.000031
Bubble,470,Best,0.000031
Bubble,480,Best,0.000033
Bubble,490,Best,0.000035
Bubble,500,Best,0.000035
Bubble,510,Best,0.000037
Bubble,520,Best,0.000039
Bubble,530,Best,0.000039
Bubble,540,Best,0.000041
Bubble,550,Best,0.000043
Bubble,560,Best,0.000043
Bubble,570,Best,0.000046
Bubble,580,Best,0.000047
Bubble,590,Best,0.000049
Bubble,600,Best,0.000053
Bubble,610,Best,0.000054
Bubble,620,Best,0.000056
Bubble,630,Best,0.000056
Bubble,640,Best,0.000057
Bubble,650,Best,0.000059
Bubble,660,Best,0.000061
Bubble,670,Best,0.000063
Bubble,680,Best,0.000065
Bubble,690,Best,0.000066
Bubble,700,Best,0.000068
Bubble,710,Best,0.000071
Bubble,720,Best,0.000072
Bubble,730,Best,0.000074
Bubble,740,Best,0.000077
Bubble,750,Best,0.000079
Bubble,760,Best,0.000080
Bubble,770,Best,0.000082
Bubble,780,Best,0.000086
Bubble,790,Best,0.000087
Bubble,800,Best,0.000092
Bubble,810,Best,0.000093
Bubble,820,Best,0.000094
Bubble,830,Best,0.000096
Bubble,840,Best,0.000099
Bubble,850,Best,0.000101
Bubble,860,Best,0.000107
Bubble,870,Best,0.000105
Bubble,880,Best,0.000109
Bubble,890,Best,0.000109
Bubble,900,Best,0.000112
Bubble,910,Best,0.000118
Bubble,920,Best,0.000121
Bubble,930,Best,0.000121
Bubble,940,Best,0.000122
Bubble,950,Best,0.000128
Bubble,960,Best,0.000128
Bubble,970,Best,0.000131
Bubble,980,Best,0.000133
Bubble,990,Best,0.000136
Bubble,1000,Best,0.000138
Bubble,1010,Best,0.000142
Bubble,1020,Best,0.000146
Bubble,1030,Best,0.000146
Bubble,1040,Best,0.000151
Bubble,1050,Best,0.000154
Bubble,1060,Best,0.000156
Bubble,1070,Best,0.000159
Bubble,1080,Best,0.000163
Bubble,1090,Best,0.000163
Bubble,1100,Best,0.000167
Bubble,1110,Best,0.000170
Bubble,1120,Best,0.000173
Bubble,1130,Best,0.000178
Bubble,1140,Best,0.000179
Bubble,1150,Best,0.000181
Bubble,1160,Best,0.000184
Bubble,1170,Best,0.000187
Bubble,1180,Best,0.000195
Bubble,1190,Best,0.000196
Bubble,1200,Best,0.000199
Bubble,1210,Best,0.000206
Bubble,1220,Best,0.000205
Bubble,1230,Best,0.000210
Bubble,1240,Best,0.000212
Bubble,1250,Best,0.000221
Bubble,1260,Best,0.000224
Bubble,1270,Best,0.000226
Bubble,1280,Best,0.000239
Bubble,1290,Best,0.000228
Bubble,1300,Best,0.000235
Bubble,1310,Best,0.000237
Bubble,1320,Best,0.000237
Bubble,1330,Best,0.000244
Bubble,1340,Best,0.000249
Bubble,1350,Best,0.000249
Bubble,1360,Best,0.000256
Bubble,1370,Best,0.000257
Bubble,1380,Best,0.000260
Bubble,1390,Best,0.000269
Bubble,1400,Best,0.000269
Bubble,1410,Best,0.000273
Bubble,1420,Best,0.000280
Bubble,1430,Best,0.000278
Bubble,1440,Best,0.000294
